ingredient,risk,function,side_effects
dimethyl phenylethyl carbinyl acetate,Safe,General,No known major side effects
dimethylphenyl methyl ketone,Safe,General,No known major side effects
dimethyl phthalate,Safe,General,No known major side effects
dimethylpiperazinium aminopyrazolopyridine hcl,Safe,General,No known major side effects
dimethyl soyamine,Safe,General,No known major side effects
dimethylspiroundecanone,Safe,General,No known major side effects
dimethyl succinate,Safe,General,No known major side effects
dimethyl sulphide,Safe,General,No known major side effects
dimethyl tallowamine,Safe,General,No known major side effects
dimethyltetrahydro benzaldehyde,Safe,General,No known major side effects
dimethyltolylamine,Safe,General,No known major side effects
dimethyl urea,Safe,General,No known major side effects
dimocarpus longan fruit extract,Safe,Natural/conditioning,Generally safe
dimorphandra mollis pod extract,Safe,Natural/conditioning,Generally safe
dimyristoyl glyceryl ascorbate,Safe,General,No known major side effects
dimyristyl ether,Safe,General,No known major side effects
dimyristyl phosphate,Safe,General,No known major side effects
dimyristyl tartrate,Safe,General,No known major side effects
dimyristyl thiodipropionate,Safe,General,No known major side effects
dinonoxynol-4 phosphate,Safe,General,No known major side effects
dinonoxynol-9 citrate,Safe,General,No known major side effects
dinonyl phenol,Safe,General,No known major side effects
dioctadecanyl didecyltetradecanoate,Safe,General,No known major side effects
dioctadecanyl ditetradecyloctadecanoate,Safe,General,No known major side effects
dioctylaminoethoxytriazine aminopropyl silsesquioxane silicate,Safe,General,No known major side effects
dioctyldecyl ipdi,Safe,General,No known major side effects
dioctyldodeceth-2 lauroyl glutamate,Safe,General,No known major side effects
dioctyldodeceth-5 lauroyl glutamate,Safe,General,No known major side effects
dioctyldodecyl adipate,Safe,General,No known major side effects
dioctyldodecyl dimer dilinoleate,Safe,General,No known major side effects
dioctyldodecyl fluoroheptyl citrate,Safe,General,No known major side effects
dioctyldodecyl ipdi,Safe,General,No known major side effects
dioctyldodecyl lauroyl glutamate,Safe,General,No known major side effects
dioctyldodecyl malate,Safe,General,No known major side effects
dioctyldodecyl sebacate,Safe,General,No known major side effects
dioctyldodecyl stearoyl dimer dilinoleate,Safe,General,No known major side effects
dioctyldodecyl stearoyl glutamate,Safe,General,No known major side effects
dioleoylamidoethyl hydroxyethylmonium methosulfate,Safe,General,No known major side effects
dioleoyl edetolmonium methosulfate,Safe,General,No known major side effects
dioleoylisopropyl dimonium methosulfate,Safe,General,No known major side effects
dioleoyl pg-trimonium chloride,Safe,General,No known major side effects
dioleth-8 phosphate,Safe,General,No known major side effects
dioleyl phosphate,Safe,General,No known major side effects
dioleyl tocopheryl methylsilanol,Safe,General,No known major side effects
dionaea muscipula extract,Safe,Natural/conditioning,Generally safe
dioscorea batatas extract,Safe,Natural/conditioning,Generally safe
dioscorea batatas root extract,Safe,Natural/conditioning,Generally safe
dioscorea composita root extract,Safe,Natural/conditioning,Generally safe
dioscorea japonica root powder,Safe,General,No known major side effects
dioscorea mexicana root extract,Safe,Natural/conditioning,Generally safe
dioscorea opposita root,Safe,General,No known major side effects
dioscorea opposita root extract,Safe,Natural/conditioning,Generally safe
dioscorea oppositifolia root,Safe,General,No known major side effects
dioscorea oppositifolia root extract,Safe,Natural/conditioning,Generally safe
dioscorea panthaica root extract,Safe,Natural/conditioning,Generally safe
dioscorea polystachya extract,Safe,Natural/conditioning,Generally safe
dioscorea villosa root extract,Safe,Natural/conditioning,Generally safe
diosgenin,Safe,General,No known major side effects
diosgenin argininate,Safe,General,No known major side effects
diosgenin dipeptide-33 hcl,Safe,General,No known major side effects
diosmetin,Safe,General,No known major side effects
diosmine,Safe,General,No known major side effects
diospyros ebenum bark extract,Safe,Natural/conditioning,Generally safe
diospyros kaki fruit,Safe,General,No known major side effects
diospyros kaki fruit extract,Safe,Natural/conditioning,Generally safe
diospyros kaki fruit juice,Safe,General,No known major side effects
diospyros kaki fruit powder,Safe,General,No known major side effects
diospyros kaki leaf powder,Safe,General,No known major side effects
diospyros kaki leaf water,Safe,General,No known major side effects
diospyros kaki peel extract,Safe,Natural/conditioning,Generally safe
diospyros lotus leaf extract,Safe,Natural/conditioning,Generally safe
diospyros mcphersonii wood extract,Safe,Natural/conditioning,Generally safe
diospyros mcphersonii wood water,Safe,General,No known major side effects
diospyros nitida fruit extract,Safe,Natural/conditioning,Generally safe
dioxolane,Safe,General,No known major side effects
dipa-hydrogenated cocoate,Safe,General,No known major side effects
dipa-lanolate,Safe,General,No known major side effects
dipalmitamine,Safe,General,No known major side effects
dipalmitoyl cystine,Safe,General,No known major side effects
dipalmitoylethyl dimonium chloride,Safe,General,No known major side effects
dipalmitoyl glutathione,Safe,General,No known major side effects
dipalmitoyl glycerophosphocholine,Safe,General,No known major side effects
dipalmoylethyl hydroxyethylmonium methosulfate,Safe,General,No known major side effects
dipalmoylisopropyl dimonium methosulfate,Safe,General,No known major side effects
dipa-myristate,Safe,General,No known major side effects
di-peg-2 soyamine ipdi,Moderate,Solvent/active,Possible irritation or dryness
dipentaerythrityl hexaacrylate,Safe,General,No known major side effects
dipentaerythrityl hexa c5-10 acid esters,Moderate,Solvent/active,Possible irritation or dryness
dipentaerythrityl hexaisononanoate,Safe,General,No known major side effects
dipentaerythrityl hexaisostearate,Safe,General,No known major side effects
dipentaerythrityl hexamercaptopropionate,Safe,General,No known major side effects
dipentaerythrityl hexaoctanoate/hexabehenate,Safe,General,No known major side effects
dipentaerythrityl pentaacrylate,Safe,General,No known major side effects
dipentaerythrityl pentahydroxystearate/pentaisostearate,Safe,General,No known major side effects
dipentaerythrityl tetraisostearate,Safe,General,No known major side effects
dipentaerythrityl tri-polyhydroxystearate ,Safe,General,No known major side effects
di-pentyl/isopentyl terephthalate,Safe,General,No known major side effects
dipentyloxy cyclohexane,Safe,General,No known major side effects
dipeptide-1,Safe,General,No known major side effects
dipeptide-10,Safe,General,No known major side effects
dipeptide-11,Safe,General,No known major side effects
dipeptide-12,Safe,General,No known major side effects
dipeptide-13,Safe,General,No known major side effects
dipeptide-15,Safe,General,No known major side effects
dipeptide-16,Safe,General,No known major side effects
dipeptide-17,Safe,General,No known major side effects
dipeptide-18,Safe,General,No known major side effects
dipeptide-19,Safe,General,No known major side effects
dipeptide-20,Safe,General,No known major side effects
dipeptide-20 hexapeptide-40 oligopeptide-93 rh-polypeptide-68 tetrapeptide-35,Safe,General,No known major side effects
dipeptide-21,Safe,General,No known major side effects
dipeptide-22,Safe,General,No known major side effects
dipeptide-23,Safe,General,No known major side effects
dipeptide-24,Safe,General,No known major side effects
dipeptide-25,Safe,General,No known major side effects
dipeptide-26,Safe,General,No known major side effects
dipeptide-27,Safe,General,No known major side effects
dipeptide-28,Safe,General,No known major side effects
dipeptide-28 nicotinate,Safe,General,No known major side effects
dipeptide-29,Safe,General,No known major side effects
dipeptide-3,Safe,General,No known major side effects
dipeptide-30,Safe,General,No known major side effects
dipeptide-31,Safe,General,No known major side effects
dipeptide-32,Safe,General,No known major side effects
dipeptide-33,Safe,General,No known major side effects
dipeptide-34,Safe,General,No known major side effects
dipeptide-35,Safe,General,No known major side effects
dipeptide-36,Safe,General,No known major side effects
dipeptide-37,Safe,General,No known major side effects
dipeptide-38,Safe,General,No known major side effects
dipeptide-39,Safe,General,No known major side effects
dipeptide-40,Safe,General,No known major side effects
dipeptide-41 nicotinate,Safe,General,No known major side effects
dipeptide-5,Safe,General,No known major side effects
dipeptide-6,Safe,General,No known major side effects
dipeptide-7,Safe,General,No known major side effects
dipeptide-8,Safe,General,No known major side effects
dipeptide-8 hcl,Safe,General,No known major side effects
dipeptide-9,Safe,General,No known major side effects
diphenhydramine hcl,Safe,General,No known major side effects
diphenolic acid,Moderate,Solvent/active,Possible irritation or dryness
diphenyl acetamidotrichloroethyl fluoronitrophenyl thiourea,Safe,General,No known major side effects
diphenyl amodimethicone,Safe,General,No known major side effects
diphenyl carbomethoxy acetoxy naphthopyran,Safe,General,No known major side effects
diphenyl dimethicone crosspolymer,Safe,General,No known major side effects
diphenyl ether,Safe,General,No known major side effects
diphenylethyl benzyloxy disiloxane,Safe,General,No known major side effects
diphenylisopropyl dimethicone,Safe,General,No known major side effects
diphenyl methane,Safe,General,No known major side effects
diphenylmethyl piperazinylbenzimidazole,Safe,General,No known major side effects
diphenylmethylsiloxy phenyl methicone/phenyl silsesquioxane crosspolymer,Safe,General,No known major side effects
diphenyl naphthopyran,Safe,General,No known major side effects
diphenylsiloxy phenyl/propyl trimethicone,Safe,General,No known major side effects
diphylleia grayi callus extract,Safe,Natural/conditioning,Generally safe
diphylleia grayi extract,Safe,Natural/conditioning,Generally safe
diphylleia grayi flower extract,Safe,Natural/conditioning,Generally safe
dipivaloyl cyclohexylcaffeate,Safe,General,No known major side effects
diplazium sibiricum leaf/stem extract,Safe,Natural/conditioning,Generally safe
diploglottis cunninghamii fruit extract,Safe,Natural/conditioning,Generally safe
dipotassium aspartate,Safe,General,No known major side effects
dipotassium azelate,Safe,General,No known major side effects
dipotassium bryonolyl succinate,Safe,General,No known major side effects
dipotassium capryloyl glutamate,Safe,General,No known major side effects
dipotassium lauryl sulfosuccinate,Safe,General,No known major side effects
dipotassium oxalate,Safe,General,No known major side effects
dipotassium undecylenoyl glutamate,Safe,General,No known major side effects
di-ppg-3 ceteth-4 adipate,Safe,General,No known major side effects
di-ppg-3 myristyl ether adipate,Safe,General,No known major side effects
dipropyl adipate,Safe,General,No known major side effects
dipropyl carbonate,Safe,General,No known major side effects
dipropylene glycol diacrylate,Moderate,Solvent/active,Possible irritation or dryness
